,questions
43,"Problem: You have two large bags of numbers. Initially, the first bag contains $$$n$$$ numbers: $$$a_1, a_2, \ldots, a_n$$$, while the second bag is empty. You are allowed to perform the following operations:

- Choose any number from the first bag and move it to the second bag.
- Choose a number from the first bag that is also present in the second bag and increase it by one.

You can perform an unlimited number of operations of both types, in any order. Is it possible to make the contents of the first and second bags identical?

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 10^4$$$). The description of the test cases follows.

The first line of each test case contains an integer $$$n$$$ ($$$2 \le n \le 1000$$$) — the length of the array $$$a$$$. It is guaranteed that $$$n$$$ is an even number.

The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$1 \le a_i \le n$$$).

It is guaranteed that the sum of $$$n^2$$$ over all test cases does not exceed $$$10^6$$$.

For each test case, print ""YES"" if it is possible to equalize the contents of the bags. Otherwise, output ""NO"".

You can output each letter in any case (for example, ""YES"", ""Yes"", ""yes"", ""yEs"", ""yEs"" will be recognized as a positive answer).

Inputs:
9
2
1 1
2
2 1
4
1 1 4 4
4
3 4 3 3
4
2 3 4 4
6
3 3 4 5 3 3
6
2 2 2 4 4 4
8
1 1 1 1 1 1 1 4
10
9 9 9 10 10 10 10 10 10 10


Outputs:
Yes
No
Yes
Yes
No
Yes
No
Yes
Yes
"
44,"Problem: You are given a positive integer $$$n$$$. In one operation, you can add to $$$n$$$ any positive integer whose decimal representation contains only the digit $$$9$$$, possibly repeated several times.

What is the minimum number of operations needed to make the number $$$n$$$ contain at least one digit $$$7$$$ in its decimal representation?

For example, if $$$n = 80$$$, it is sufficient to perform one operation: you can add $$$99$$$ to $$$n$$$, after the operation $$$n = 179$$$, which contains the digit $$$7$$$.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 10^4$$$). The description of the test cases follows.

The only line of each test case contains an integer $$$n$$$ ($$$10 \leq n \leq 10^9$$$).

For each test case, output the minimum number of operations required for the number $$$n$$$ to contain the digit $$$7$$$.

Inputs:
16
51
60
61
777
12345689
1000000000
2002
3001
977
989898986
80
800001
96
70
15
90


Outputs:
3
2
1
0
1
3
5
4
0
7
1
2
7
0
7
3
"
45,"Problem: Narek has to spend 2 hours with some 2-year-old kids at the kindergarten. He wants to teach them competitive programming, and their first lesson is about palindromes.

Narek found out that the kids only know the vowels of the English alphabet (the letters $$$\mathtt{a}$$$, $$$\mathtt{e}$$$, $$$\mathtt{i}$$$, $$$\mathtt{o}$$$, and $$$\mathtt{u}$$$), so Narek needs to make a string that consists of vowels only. After making the string, he'll ask the kids to count the number of subsequences that are palindromes. Narek wants to keep it simple, so he's looking for a string such that the amount of palindrome subsequences is minimal.

Help Narek find a string of length $$$n$$$, consisting of lowercase English vowels only (letters $$$\mathtt{a}$$$, $$$\mathtt{e}$$$, $$$\mathtt{i}$$$, $$$\mathtt{o}$$$, and $$$\mathtt{u}$$$), which minimizes the amount of palindrome$$$^{\dagger}$$$ subsequences$$$^{\ddagger}$$$ in it.

$$$^{\dagger}$$$ A string is called a palindrome if it reads the same from left to right and from right to left.

$$$^{\ddagger}$$$ String $$$t$$$ is a subsequence of string $$$s$$$ if $$$t$$$ can be obtained from $$$s$$$ by removing several (possibly, zero or all) characters from $$$s$$$ and concatenating the remaining ones, without changing their order. For example, $$$\mathtt{odocs}$$$ is a subsequence of $$$\texttt{c}{\color{red}{\texttt{od}}}\texttt{ef}{\color{red}{\texttt{o}}}\texttt{r}{\color{red}{\texttt{c}}}\texttt{e}{\color{red}{\texttt{s}}}$$$.

Input and Output Format:
The first line of the input contains a single integer $$$t$$$ ($$$1 \le t \le 100$$$) — the number of test cases. Subsequently, the description of each test case follows.

The only line of each test case contains a single integer $$$n$$$ ($$$1 \le n \le 100$$$) — the size of the string.

For each test case, output any string of length $$$n$$$ that satisfies the above conditions.

Inputs:
3
2
3
6


Outputs:
ae
aei
aaeiou
"
46,"Problem: This is the easy version of the problem. The only differences between the two versions are the constraints on $$$m$$$ and $$$q$$$. In this version, $$$m=2$$$ and $$$q=1$$$. You can make hacks only if both versions of the problem are solved.

Narek and Tsovak were busy preparing this round, so they have not managed to do their homework and decided to steal David's homework. Their strict teacher noticed that David has no homework and now wants to punish him. She hires other teachers to help her catch David. And now $$$m$$$ teachers together are chasing him. Luckily, the classroom is big, so David has many places to hide.

The classroom can be represented as a one-dimensional line with cells from $$$1$$$ to $$$n$$$, inclusive.

At the start, all $$$m$$$ teachers and David are in distinct cells. Then they make moves. During each move

- David goes to an adjacent cell or stays at the current one.
- Then, each of the $$$m$$$ teachers simultaneously goes to an adjacent cell or stays at the current one.

This continues until David is caught. David is caught if any of the teachers (possibly more than one) is located in the same cell as David. Everyone sees others' moves, so they all act optimally.

Your task is to find how many moves it will take for the teachers to catch David if they all act optimally.

Acting optimally means the student makes his moves in a way that maximizes the number of moves the teachers need to catch him; and the teachers coordinate with each other to make their moves in a way that minimizes the number of moves they need to catch the student.

Also, as Narek and Tsovak think this task is easy, they decided to give you $$$q$$$ queries on David's position. Note: this is the easy version, and you are given only one query.

Input and Output Format:
In the first line of the input, you are given a single integer $$$t$$$ ($$$1 \le t \le 10^5$$$) — the number of test cases. The description of each test case follows.

In the first line of each test case, you are given three integers $$$n$$$, $$$m$$$, and $$$q$$$ ($$$3 \le n \le 10^9$$$, $$$m=2$$$, $$$q=1$$$) — the number of cells on the line, the number of teachers, and the number of queries.

In the second line of each test case, you are given $$$m$$$ distinct integers $$$b_1, b_2, \ldots, b_m$$$ ($$$1 \le b_i \le n$$$) — the cell numbers of the teachers.

In the third line of each test case, you are given $$$q$$$ integers $$$a_1, a_2, \ldots, a_q$$$ ($$$1 \le a_i \le n$$$) — David's cell number for every query.

It is guaranteed that for any $$$i$$$, $$$j$$$ such that $$$1 \le i \le m$$$ and $$$1 \le j \le q$$$, $$$b_i \neq a_j$$$.

For each test case, output $$$q$$$ lines, the $$$i$$$-th of them containing the answer of the $$$i$$$-th query.

Inputs:
3
10 2 1
1 4
2
8 2 1
3 6
1
8 2 1
3 6
8


Outputs:
1
2
2
"
47,"Problem: This is the hard version of the problem. The only differences between the two versions are the constraints on $$$m$$$ and $$$q$$$. In this version, $$$m, q \le 10^5$$$. You can make hacks only if both versions of the problem are solved.

Narek and Tsovak were busy preparing this round, so they have not managed to do their homework and decided to steal David's homework. Their strict teacher noticed that David has no homework and now wants to punish him. She hires other teachers to help her catch David. And now $$$m$$$ teachers together are chasing him. Luckily, the classroom is big, so David has many places to hide.

The classroom can be represented as a one-dimensional line with cells from $$$1$$$ to $$$n$$$, inclusive.

At the start, all $$$m$$$ teachers and David are in distinct cells. Then they make moves. During each move

- David goes to an adjacent cell or stays at the current one.
- Then, each of the $$$m$$$ teachers simultaneously goes to an adjacent cell or stays at the current one.

This continues until David is caught. David is caught if any of the teachers (possibly more than one) is located in the same cell as David. Everyone sees others' moves, so they all act optimally.

Your task is to find how many moves it will take for the teachers to catch David if they all act optimally.

Acting optimally means the student makes his moves in a way that maximizes the number of moves the teachers need to catch him; and the teachers coordinate with each other to make their moves in a way that minimizes the number of moves they need to catch the student.

Also, as Narek and Tsovak think this task is easy, they decided to give you $$$q$$$ queries on David's position.

Input and Output Format:
In the first line of the input, you are given a single integer $$$t$$$ ($$$1 \le t \le 10^5$$$) — the number of test cases. The description of each test case follows.

In the first line of each test case, you are given three integers $$$n$$$, $$$m$$$, and $$$q$$$ ($$$3 \le n \le 10^9$$$, $$$1 \le m, q \le 10^5$$$) — the number of cells on the line, the number of teachers, and the number of queries.

In the second line of each test case, you are given $$$m$$$ distinct integers $$$b_1, b_2, \ldots, b_m$$$ ($$$1 \le b_i \le n$$$) — the cell numbers of the teachers.

In the third line of each test case, you are given $$$q$$$ integers $$$a_1, a_2, \ldots, a_q$$$ ($$$1 \le a_i \le n$$$) — David's cell number for every query.

It is guaranteed that for any $$$i$$$, $$$j$$$ such that $$$1 \le i \le m$$$ and $$$1 \le j \le q$$$, $$$b_i \neq a_j$$$.

It is guaranteed that the sum of values of $$$m$$$ over all test cases does not exceed $$$2 \cdot 10^5$$$.

It is guaranteed that the sum of values of $$$q$$$ over all test cases does not exceed $$$2 \cdot 10^5$$$.

For each test case, output $$$q$$$ lines, the $$$i$$$-th of them containing the answer of the $$$i$$$-th query.

Inputs:
2
8 1 1
6
3
10 3 3
1 4 8
2 3 10


Outputs:
5
1
1
2
"
48,"Problem: Narek is too lazy to create the third problem of this contest. His friend Artur suggests that he should use ChatGPT. ChatGPT creates $$$n$$$ problems, each consisting of $$$m$$$ letters, so Narek has $$$n$$$ strings. To make the problem harder, he combines the problems by selecting some of the $$$n$$$ strings possibly none and concatenating them without altering their order. His chance of solving the problem is defined as $$$score_n - score_c$$$, where $$$score_n$$$ is Narek's score and $$$score_c$$$ is ChatGPT's score.

Narek calculates $$$score_n$$$ by examining the selected string (he moves from left to right). He initially searches for the letter $$$\texttt{""n""}$$$, followed by $$$\texttt{""a""}$$$, $$$\texttt{""r""}$$$, $$$\texttt{""e""}$$$, and $$$\texttt{""k""}$$$. Upon finding all occurrences of these letters, he increments $$$score_n$$$ by $$$5$$$ and resumes searching for $$$\texttt{""n""}$$$ again (he doesn't go back, and he just continues from where he left off).

After Narek finishes, ChatGPT scans through the array and increments $$$score_c$$$ by $$$1$$$ for each letter $$$\texttt{""n""}$$$, $$$\texttt{""a""}$$$, $$$\texttt{""r""}$$$, $$$\texttt{""e""}$$$, or $$$\texttt{""k""}$$$ that Narek fails to utilize (note that if Narek fails to complete the last occurrence by finding all of the $$$5$$$ letters, then all of the letters he used are counted in ChatGPT's score $$$score_c$$$, and Narek doesn't get any points if he doesn't finish finding all the 5 letters).

Narek aims to maximize the value of $$$score_n - score_c$$$ by selecting the most optimal subset of the initial strings.

Input and Output Format:
In the first line of the input, you're given a single integer $$$t$$$ ($$$1 \le t \le 10^5$$$), the number of test cases. Then the description of each test case follows.

In the first line of each test case, you're given two integers $$$n, m$$$ ($$$1 \le n, m \le 10^3$$$), the number of strings and the length of each string.

In the next $$$n$$$ lines, you're given $$$n$$$ strings, each having a length of $$$m$$$. The strings only contain lowercase letters of the English alphabet.

The sum of values of $$$n \cdot m$$$ over all test cases does not exceed $$$10^6$$$.

For each test case, output a single integer: the maximal possible value of $$$score_n - score_c$$$.

Inputs:
4
5 2
nn
aa
rr
ee
kk
1 5
narek
1 4
nare
5 7
nrrarek
nrnekan
uuuuuuu
ppppppp
nkarekz


Outputs:
0
5
0
7
"
49,"Problem: You are given two arrays $$$a_1, a_2, \ldots, a_n$$$ and $$$b_1, b_2, \ldots, b_n$$$.

You must perform the following operation exactly once:

- choose any indices $$$l$$$ and $$$r$$$ such that $$$1 \le l \le r \le n$$$;
- swap $$$a_i$$$ and $$$b_i$$$ for all $$$i$$$ such that $$$l \leq i \leq r$$$.

Find the maximum possible value of $$$\text{gcd}(a_1, a_2, \ldots, a_n) + \text{gcd}(b_1, b_2, \ldots, b_n)$$$ after performing the operation exactly once. Also find the number of distinct pairs $$$(l, r)$$$ which achieve the maximum value.

Input and Output Format:
In the first line of the input, you are given a single integer $$$t$$$ ($$$1 \le t \le 10^5$$$), the number of test cases. Then the description of each test case follows.

In the first line of each test case, you are given a single integer $$$n$$$ ($$$1 \le n \le 2 \cdot 10^5$$$), representing the number of integers in each array.

In the next line, you are given $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$1 \le a_i \le 10^9$$$) — the elements of the array $$$a$$$.

In the last line, you are given $$$n$$$ integers $$$b_1, b_2, \ldots, b_n$$$ ($$$1 \le b_i \le 10^9$$$) — the elements of the array $$$b$$$.

The sum of values of $$$n$$$ over all test cases does not exceed $$$5 \cdot 10^5$$$.

For each test case, output a line with two integers: the maximum value of $$$\text{gcd}(a_1, a_2, \ldots, a_n) + \text{gcd}(b_1, b_2, \ldots, b_n)$$$ after performing the operation exactly once, and the number of ways.

Inputs:
5
8
11 4 16 17 3 24 25 8
8 10 4 21 17 18 25 21
4
6 4 24 13
15 3 1 14
2
13 14
5 8
8
20 17 15 11 21 10 3 7
9 9 4 20 14 9 13 1
2
18 13
15 20


Outputs:
2 36
3 2
2 3
2 36
6 1
"
50,"Problem: This is the easy version of the problem. The differences between the two versions are the constraints on all the variables. You can make hacks only if both versions of the problem are solved.

Tsovak and Narek are playing a game. They have an array $$$a$$$ and a matrix $$$b$$$ of integers with $$$n$$$ rows and $$$m$$$ columns, numbered from $$$1$$$. The cell in the $$$i$$$-th row and the $$$j$$$-th column is $$$(i, j)$$$.

They are looking for the elements of $$$a$$$ in turns; Tsovak starts first. Each time a player looks for a cell in the matrix containing the current element of $$$a$$$ (Tsovak looks for the first, then Narek looks for the second, etc.). Let's say a player has chosen the cell $$$(r, c)$$$. The next player has to choose his cell in the submatrix starting at $$$(r + 1, c + 1)$$$ and ending in $$$(n, m)$$$ (the submatrix can be empty if $$$r=n$$$ or $$$c=m$$$). If a player cannot find such a cell (or the remaining submatrix is empty) or the array ends (the previous player has chosen the last element), then he loses.

Your task is to determine the winner if the players play optimally.

Input and Output Format:
The first line of the input contains $$$t$$$ ($$$1 \le t \le 300$$$) – the number of test cases.

The first line of each test case contains three integers $$$l$$$, $$$n$$$, and $$$m$$$ ($$$1 \le l, n, m \le 300$$$) – the size of the array and the sizes of the matrix.

The second line contains $$$l$$$ integers $$$a_1, a_2, a_3, \ldots a_l$$$ ($$$1 \le a_i \le \min(7, n \cdot m)$$$) – the elements of the array $$$a$$$.

The $$$i$$$-th of the last $$$n$$$ lines contains $$$m$$$ integers $$$b_{i,1}, b_{i,2}, b_{i,3}, \ldots b_{i,m}$$$ ($$$1 \le b_{i,j} \le \min(7, n \cdot m)$$$) – representing the $$$i$$$-th row of the matrix.

It is guaranteed that the sum of $$$n \cdot m$$$ over all test cases does not exceed $$$10^5$$$.

It is guaranteed that the sum of $$$l$$$ over all test cases does not exceed $$$300$$$.

You should output $$$t$$$ lines, the $$$i$$$-th of them containing a character representing the answer of the $$$i$$$-th test case: ""T"" if Tsovak wins or ""N"", otherwise (without quotes).

Inputs:
3
2 2 3
1 2
1 3 5
4 5 2
2 2 4
1 2
1 1 3 2
4 2 5 1
2 4 2
1 2
3 4
5 5
5 5
5 5


Outputs:
N
T
N
"
51,"Problem: This is the hard version of the problem. The differences between the two versions are the constraints on all the variables. You can make hacks only if both versions of the problem are solved.

Tsovak and Narek are playing a game. They have an array $$$a$$$ and a matrix $$$b$$$ of integers with $$$n$$$ rows and $$$m$$$ columns, numbered from $$$1$$$. The cell in the $$$i$$$-th row and the $$$j$$$-th column is $$$(i, j)$$$.

They are looking for the elements of $$$a$$$ in turns; Tsovak starts first. Each time a player looks for a cell in the matrix containing the current element of $$$a$$$ (Tsovak looks for the first, then Narek looks for the second, etc.). Let's say a player has chosen the cell $$$(r, c)$$$. The next player has to choose his cell in the submatrix starting at $$$(r + 1, c + 1)$$$ and ending in $$$(n, m)$$$ (the submatrix can be empty if $$$r=n$$$ or $$$c=m$$$). If a player cannot find such a cell (or the remaining submatrix is empty) or the array ends (the previous player has chosen the last element), then he loses.

Your task is to determine the winner if the players play optimally.

Note: since the input is large, you may need to optimize input/output for this problem.

For example, in C++, it is enough to use the following lines at the start of the main() function:

Input and Output Format:
The first line of the input contains $$$t$$$ ($$$1 \le t \le 1500$$$) – the number of test cases.

The first line of each test case contains three integers $$$l$$$, $$$n$$$, and $$$m$$$ ($$$1 \le l, n, m \le 1500$$$) – the size of the array and the sizes of the matrix.

The second line contains $$$l$$$ integers $$$a_1, a_2, a_3, \ldots a_l$$$ ($$$1 \le a_i \le n \cdot m$$$) – the elements of the array $$$a$$$.

The $$$i$$$-th of the last $$$n$$$ lines contains $$$m$$$ integers $$$b_{i,1}, b_{i,2}, b_{i,3}, \ldots b_{i,m}$$$ ($$$1 \le b_{i,j} \le n \cdot m$$$) – representing the $$$i$$$-th row of the matrix.

It is guaranteed that the sum of $$$n \cdot m$$$ over all test cases does not exceed $$$3 \cdot 10^6$$$.

It is guaranteed that the sum of $$$l$$$ over all test cases does not exceed $$$1500$$$.

You should output $$$t$$$ lines, the $$$i$$$-th of them containing a character representing the answer of the $$$i$$$-th test case: ""T"" if Tsovak wins or ""N"", otherwise (without quotes).

Inputs:
3
2 2 3
1 2
1 3 6
4 6 2
2 2 4
1 2
1 1 3 2
4 2 5 1
2 4 2
1 2
3 4
5 6
7 8
8 8


Outputs:
N
T
N
"
52,"Problem: There is a tale about the wise King Keykhosrow who owned a grand treasury filled with treasures from across the Persian Empire. However, to prevent theft and ensure the safety of his wealth, King Keykhosrow's vault was sealed with a magical lock that could only be opened by solving a riddle.

The riddle involves two sacred numbers $$$a$$$ and $$$b$$$. To unlock the vault, the challenger must determine the smallest key number $$$m$$$ that satisfies two conditions:

- $$$m$$$ must be greater than or equal to at least one of $$$a$$$ and $$$b$$$.
- The remainder when $$$m$$$ is divided by $$$a$$$ must be equal to the remainder when $$$m$$$ is divided by $$$b$$$.

Only by finding the smallest correct value of $$$m$$$ can one unlock the vault and access the legendary treasures!

Input and Output Format:
The first line of the input contains an integer $$$t$$$ ($$$1 \leq t \leq 100$$$), the number of test cases.

Each test case consists of a single line containing two integers $$$a$$$ and $$$b$$$ ($$$1 \leq a, b \leq 1000$$$).

For each test case, print the smallest integer $$$m$$$ that satisfies the conditions above.

Inputs:
2
4 6
472 896


Outputs:
12
52864
"
53,"Problem: Rostam's loyal horse, Rakhsh, has seen better days. Once powerful and fast, Rakhsh has grown weaker over time, struggling to even move. Rostam worries that if too many parts of Rakhsh's body lose strength at once, Rakhsh might stop entirely. To keep his companion going, Rostam decides to strengthen Rakhsh, bit by bit, so no part of his body is too frail for too long.

Imagine Rakhsh's body as a line of spots represented by a binary string $$$s$$$ of length $$$n$$$, where each $$$0$$$ means a weak spot and each $$$1$$$ means a strong one. Rostam's goal is to make sure that no interval of $$$m$$$ consecutive spots is entirely weak (all $$$0$$$s).

Luckily, Rostam has a special ability called Timar, inherited from his mother Rudabeh at birth. With Timar, he can select any segment of length $$$k$$$ and instantly strengthen all of it (changing every character in that segment to $$$1$$$). The challenge is to figure out the minimum number of times Rostam needs to use Timar to keep Rakhsh moving, ensuring there are no consecutive entirely weak spots of length $$$m$$$.

Input and Output Format:
The first line contains an integer $$$t$$$ ($$$1 \le t \le 10^4$$$), the number of test cases.

The first line of each test case contains three numbers $$$n$$$, $$$m$$$, $$$k$$$ ($$$1 \le m, k \le n \le 2 \cdot 10^5$$$). The second line of each test case contains a binary string $$$s$$$ of $$$n$$$ characters $$$s_1s_2 \ldots s_n$$$. ($$$s_i \in \{$$$0,1$$$\}$$$ for $$$1 \le i \le n$$$).

It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$2 \cdot 10^5$$$.

For each test case, output the minimum number of times Rostam needs to use Timar to keep Rakhsh moving, ensuring there are no consecutive entirely weak spots of length $$$m$$$.

Inputs:
3
5 1 1
10101
5 2 1
10101
6 3 2
000000


Outputs:
2
0
1
"
54,"Problem: In the fourth labor of Rostam, the legendary hero from the Shahnameh, an old witch has created a magical maze to trap him. The maze is a rectangular grid consisting of $$$n$$$ rows and $$$m$$$ columns. Each cell in the maze points in a specific direction: up, down, left, or right. The witch has enchanted Rostam so that whenever he is in a cell, he will move to the next cell in the direction indicated by that cell.

If Rostam eventually exits the maze, he will be freed from the witch's enchantment and will defeat her. However, if he remains trapped within the maze forever, he will never escape.

The witch has not yet determined the directions for all the cells. She wants to assign directions to the unspecified cells in such a way that the number of starting cells from which Rostam will be trapped forever is maximized. Your task is to find the maximum number of starting cells which make Rostam trapped.

Input and Output Format:
The first line of the input contains an integer $$$t$$$ ($$$1 \leq t \leq 10^4$$$), the number of test cases.

For each test case:

- The first line contains two integers $$$n$$$ and $$$m$$$ ($$$1 \leq n, m \leq 1000$$$), representing the number of rows and columns in the maze.
- Each of the next $$$n$$$ lines contains a string of $$$m$$$ characters representing the directions in the maze. Each character is one of the following:   U (up)  D (down)  L (left)  R (right)  ? (unspecified direction)

It's guaranteed that the sum of $$$n \cdot m$$$ over all test cases is at most $$$10^6$$$.

For each test case, print a single integer, the maximum number of starting cells from which Rostam will be trapped forever after assigning directions to the unspecified cells optimally.

Inputs:
3
3 3
UUU
L?R
DDD
2 3
???
???
3 3
?U?
R?L
RDL


Outputs:
0
6
5
"
55,"Problem: Darius the Great is constructing $$$n$$$ stone columns, each consisting of a base and between $$$0$$$, $$$1$$$, or $$$2$$$ inscription pieces stacked on top.

In each move, Darius can choose two columns $$$u$$$ and $$$v$$$ such that the difference in the number of inscriptions between these columns is exactly $$$1$$$, and transfer one inscription from the column with more inscriptions to the other one. It is guaranteed that at least one column contains exactly $$$1$$$ inscription.

Since beauty is the main pillar of historical buildings, Darius wants the columns to have ascending heights. To avoid excessive workers' efforts, he asks you to plan a sequence of at most $$$n$$$ moves to arrange the columns in non-decreasing order based on the number of inscriptions. Minimizing the number of moves is not required.

Input and Output Format:
The first line contains an integer $$$t$$$ — the number of test cases. ($$$1 \leq t \leq 3000$$$)

The first line of each test case contains an integer $$$n$$$ — the number of stone columns. ($$$1 \leq n \leq 2 \cdot 10^5$$$)

The second line contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$, where $$$a_i \in \{0,1,2\}$$$ represents the initial number of inscriptions in the $$$i$$$-th column. It is guaranteed that at least one column has exactly $$$1$$$ inscription.

It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$2 \cdot 10^5$$$.

For each test case, output an integer $$$k$$$ — the number of moves used to sort the columns. ($$$0 \leq k \leq n$$$)

Then, output $$$k$$$ lines, each containing two integers $$$u_i$$$ and $$$v_i$$$ ($$$1 \leq u_i, v_i \leq n$$$), representing the indices of the columns involved in the $$$i$$$-th move. During each move, it must hold that $$$|a_{u_i} - a_{v_i}| = 1$$$, and one inscription is transferred from the column with more inscriptions to the other.

It can be proven that a valid solution always exists under the given constraints.

Inputs:
3
4
0 2 0 1
3
1 2 0
6
0 1 1 2 2 2


Outputs:
2
4 2
2 3
2
1 3
3 2
0
"
56,"Problem: Rayan wants to present a gift to Reyhaneh to win her heart. However, Reyhaneh is particular and will only accept a k-harmonic set of permutations.

We define a k-harmonic set of permutations as a set of $$$k$$$ pairwise distinct permutations $$$p_1, p_2, \ldots, p_k$$$ of size $$$n$$$ such that for every pair of indices $$$i$$$ and $$$j$$$ (where $$$1 \leq i, j \leq n$$$), the following condition holds:

$$$$$$ p_1[i] + p_2[i] + \ldots + p_k[i] = p_1[j] + p_2[j] + \ldots + p_k[j] $$$$$$

Your task is to help Rayan by either providing a valid k-harmonic set of permutations for given values of $$$n$$$ and $$$k$$$ or by determining that such a set does not exist.

We call a sequence of length $$$n$$$ a permutation if it contains every integer from $$$1$$$ to $$$n$$$ exactly once.

Input and Output Format:
The first line contains a single integer $$$t$$$ ($$$1 \leq t \leq 1000$$$), the number of test cases.

Each test case consists of two integers $$$n$$$ and $$$k$$$ ($$$1 \leq n, k \leq 10^5$$$). The sum of $$$n \cdot k$$$ over all test cases does not exceed $$$5 \cdot 10^5$$$.

For each test case, if a k-harmonic set of permutations exists, print YES on the first line. Then, print $$$k$$$ lines, each containing a distinct permutation of the integers from $$$1$$$ to $$$n$$$.

If no such set exists, print NO on the first line.

You can output ""YES"" and ""NO"" in any case (for example, strings ""yEs"", ""yes"", and ""Yes"" will be recognized as a positive response).

If multiple answers are possible, you can output any of them.

Inputs:
4
3 3
4 2
5 1
3 2


Outputs:
Yes
1 2 3
2 3 1
3 1 2
Yes
1 2 3 4
4 3 2 1
No
Yes
1 2 3
3 2 1
"
57,"Problem: This is the easy version of the problem. The only differences between the two versions are the constraints on $$$k$$$ and the sum of $$$k$$$.

In ancient Persia, Khayyam, a clever merchant and mathematician, is playing a game with his prized treasure chest containing $$$n$$$ red rubies worth $$$2$$$ dinars each and $$$m$$$ blue sapphires worth $$$1$$$ dinar each. He also has a satchel, which starts empty, and $$$k$$$ scrolls with pairs $$$(r_1, b_1), (r_2, b_2), \ldots, (r_k, b_k)$$$ that describe special conditions.

The game proceeds for $$$n + m$$$ turns as follows:

1. Khayyam draws a gem uniformly at random from the chest.
2. He removes the gem from the chest and places it in his satchel.
3. If there exists a scroll $$$i$$$ ($$$1 \leq i \leq k$$$) such that the chest contains exactly $$$r_i$$$ red rubies and $$$b_i$$$ blue sapphires, Khayyam receives a royal decree that doubles the value of all the gems in his satchel as a reward for achieving a special configuration.

Note that the value of some gems might be affected by multiple decrees, and in that case the gems' value is doubled multiple times.

Determine the expected value of Khayyam's satchel at the end of the game, modulo $$$998,244,353$$$.

Formally, let $$$M = 998,244,353$$$. It can be shown that the exact answer can be expressed as an irreducible fraction $$$\frac{p}{q}$$$, where $$$p$$$ and $$$q$$$ are integers and $$$q \not \equiv 0 \pmod{M}$$$. Output the integer equal to $$$p \cdot q^{-1} \bmod M$$$. In other words, output such an integer $$$x$$$ that $$$0 \le x < M$$$ and $$$x \cdot q \equiv p \pmod{M}$$$.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 500$$$). The description of the test cases follows.

The first line of each test case contains three integers $$$n$$$, $$$m$$$, and $$$k$$$ ($$$1 \leq n, m \leq 2 \cdot 10^5$$$, $$$0 \leq k \leq 500$$$) — the number of red rubies, the number of blue sapphires, and the number of scrolls describing special conditions, respectively.

Each of the next $$$k$$$ lines contains two integers $$$r_i$$$, $$$b_i$$$ ($$$0 \leq r_i \leq n$$$, $$$0 \leq b_i \leq m$$$, $$$1 \leq r_i + b_i \leq n+m-1$$$). It is guaranteed that the pairs $$$(r_i, b_i)$$$ are distinct.

It is guaranteed that the sum of $$$n$$$ and the sum of $$$m$$$ over all test cases do not exceed $$$2 \cdot 10^5$$$, and the sum of $$$k$$$ over all test cases does not exceed $$$500$$$.

For each test case, print a single integer: the expected value of Khayyam's satchel at the end of the process, modulo $$$998,244,353$$$.

Inputs:
5
3 4 0
1 1 1
1 0
3 3 2
1 1
2 2
3 3 2
2 1
1 2
10 4 5
1 0
8 0
6 4
0 2
7 4


Outputs:
10
499122180
798595498
149736666
414854846
"
